Species;X;Y;Abundance;Years;Site
Lissotriton helveticus;363426;6792927;1;2010;Site 171
Pelophylax spp.;363346;6792978;1;2010;Site 169
Rana dalmatina;360877;6792820;1;2010;Site 157
Salamandra salamandra;360877;6792820;1;2010;Site 157
Triturus marmoratus;360924;6792705;1;2010;Site 158
Triturus marmoratus;360877;6792820;1;2010;Site 157
Triturus marmoratus;363424;6792927;1;2010;Site 170
Rana dalmatina;364990;6788566;1;2010;Site 175
Lissotriton helveticus;361290;6800484;1;2010;Site 160
Salamandra salamandra;361290;6800484;1;2010;Site 160
Ichthyosaura alpestris;361741;6787981;1;2010;Site 164
Pelophylax spp.;364800;6784115;1;2010;Site 174
Pelophylax spp.;367429;6784790;1;2010;Site 178
Pelophylax spp.;361741;6787981;1;2010;Site 164
Rana dalmatina;363974;6789458;1;2010;Site 172
Rana dalmatina;361741;6787981;1;2010;Site 164
Salamandra salamandra;364275;6784688;1;2010;Site 173
Salamandra salamandra;367429;6784790;1;2010;Site 178
Triturus marmoratus;364800;6784115;1;2010;Site 174
Ichthyosaura alpestris;356934;6784548;1;2010;Site 130
Ichthyosaura alpestris;358236;6783671;1;2010;Site 143
Ichthyosaura alpestris;357824;6782632;1;2010;Site 138
Lissotriton helveticus;356934;6784548;1;2010;Site 130
Lissotriton helveticus;357879;6784582;1;2010;Site 139
Lissotriton helveticus;358236;6783671;1;2010;Site 143
Lissotriton helveticus;357824;6782632;1;2010;Site 138
Pelophylax spp.;357879;6784582;1;2010;Site 139
Pelophylax spp.;358236;6783671;1;2010;Site 143
Pelophylax spp.;357824;6782632;1;2010;Site 138
Rana dalmatina;356934;6784548;1;2010;Site 130
Rana dalmatina;356252;6784421;1;2010;Site 126
Rana dalmatina;356244;6784537;1;2010;Site 125
Rana dalmatina;357879;6784582;1;2010;Site 139
Rana dalmatina;356999;6784958;1;2010;Site 131
Salamandra salamandra;356934;6784548;1;2010;Site 130
Salamandra salamandra;356252;6784421;1;2010;Site 126
Salamandra salamandra;358236;6783671;1;2010;Site 143
Triturus cristatus;357879;6784582;1;2010;Site 139
Triturus cristatus;358236;6783671;1;2010;Site 143
Triturus cristatus;357824;6782632;1;2010;Site 138
Triturus marmoratus;358236;6783671;1;2010;Site 143
Bufo spinosus;356610;6794850;1;2010;Site 127
Ichthyosaura alpestris;357337;6783846;1;2010;Site 136
Lissotriton helveticus;357337;6783846;1;2010;Site 136
