Species;X;Y;Abundance;Years;Site
Pelophylax spp.;340849;6794431;1;2010;Site 12
Hyla arborea;345020;6796885;1;2010;Site 40
Pelophylax spp.;345313;6796938;1;2010;Site 44
Lissotriton helveticus;360166;6778271;1;2010;Site 154
Lissotriton helveticus;359493;6778091;1;2010;Site 149
Pelophylax spp.;360102;6778130;1;2010;Site 153
Pelophylax spp.;358945;6789802;1;2010;Site 145
Triturus cristatus;356934;6784548;1;2010;Site 130
Triturus marmoratus;356934;6784548;1;2010;Site 130
Lissotriton helveticus;358378;6795337;1;2010;Site 144
Lissotriton helveticus;348912;6786837;1;2010;Site 76
Hyla arborea;345313;6796938;1;2010;Site 44
Hyla arborea;351737;6777426;1;2010;Site 104
Pelophylax spp.;351250;6774725;1;2010;Site 98
Rana dalmatina;344724;6794329;1;2010;Site 32
Hyla arborea;351250;6774725;1;2010;Site 98
Hyla arborea;353791;6774245;1;2010;Site 114
Pelophylax spp.;352430;6793025;1;2010;Site 105
Pelodytes punctatus;348398;6785920;1;2006;Site 58
Triturus marmoratus;359513;6798892;1;2010;Site 150
Hyla arborea;340849;6794474;1;2010;Site 13
Hyla arborea;340849;6794431;1;2010;Site 12
Hyla arborea;363346;6792978;1;2010;Site 169
Triturus cristatus;353885;6784083;1;2007;Site 116
Ichthyosaura alpestris;353580;6784266;1;2007;Site 111
Lissotriton helveticus;353580;6784266;1;2007;Site 111
Pelophylax spp.;353580;6784266;1;2007;Site 111
Rana dalmatina;353580;6784266;1;2007;Site 111
Triturus cristatus;353580;6784266;1;2007;Site 111
Lissotriton helveticus;360102;6778130;1;2010;Site 153
Triturus marmoratus;358945;6789802;1;2010;Site 145
Rana dalmatina;363346;6792978;1;2010;Site 169
Ichthyosaura alpestris;357640;6795279;1;2010;Site 137
Lissotriton helveticus;348280;6787037;1;2006;Site 57
Hyla arborea;349929;6785714;1;2006;Site 83
Triturus cristatus;347853;6782228;1;2004;Site 55
Triturus cristatus;356912;6792688;15;2010;Site 129
Pelophylax spp.;364990;6788566;15;2010;Site 175
Triturus cristatus;348860;6787975;15;2010;Site 73
Triturus marmoratus;362218;6792063;20;2010;Site 166
Salamandra salamandra;366031;6794690;25;2010;Site 176
Lissotriton helveticus;341088;6788537;25;2010;Site 14
Pelophylax spp.;345020;6796885;25;2010;Site 40
Salamandra salamandra;359470;6799474;25;2010;Site 147
Ichthyosaura alpestris;356912;6792688;25;2010;Site 129
Lissotriton helveticus;358945;6789802;25;2010;Site 145
Lissotriton helveticus;362218;6792063;25;2010;Site 166
Rana dalmatina;363424;6792927;25;2010;Site 170
Salamandra salamandra;343674;6782455;25;2010;Site 25
Ichthyosaura alpestris;355177;6792058;25;2010;Site 120
Rana dalmatina;351100;6780324;25;2010;Site 97
Lissotriton helveticus;354836;6800591;75;2010;Site 117
Ichthyosaura alpestris;358135;6794663;75;2010;Site 141
Lissotriton helveticus;357640;6795279;75;2010;Site 137
Lissotriton helveticus;358135;6794663;75;2010;Site 141
Lissotriton helveticus;343513;6782226;75;2010;Site 21
Salamandra salamandra;343513;6782226;75;2010;Site 21
