Species;Year;Abundance;X;Y
Lissotriton helveticus;2019;1;296652;6834112
Lissotriton helveticus;2019;1;296656;6834121
Lissotriton helveticus;2019;1;296658;6834124
Lissotriton helveticus;2019;1;296659;6834138
Lissotriton helveticus;2019;1;296677;6834163
Lissotriton helveticus;2019;1;296677;6834163
Lissotriton helveticus;2019;1;296678;6834174
Lissotriton helveticus;2019;1;296684;6834178
Lissotriton helveticus;2019;1;296684;6834178
Lissotriton helveticus;2019;1;296692;6834200
Lissotriton helveticus;2019;1;296693;6834210
Lissotriton helveticus;2019;1;296698;6834211
Lissotriton helveticus;2019;1;296702;6834221
Lissotriton helveticus;2019;1;296704;6834229
Lissotriton helveticus;2019;1;296707;6834239
Lissotriton helveticus;2019;1;296713;6834239
Lissotriton helveticus;2019;1;296713;6834239
Lissotriton helveticus;2019;1;296717;6834254
Lissotriton helveticus;2019;1;296721;6834267
Lissotriton helveticus;2019;1;296730;6834290
Lissotriton helveticus;2019;1;296736;6834302
Lissotriton helveticus;2019;1;296740;6834307
Lissotriton helveticus;2019;1;296753;6834332
Lissotriton helveticus;2019;1;296768;6834380
Lissotriton helveticus;2019;1;296777;6834394
Lissotriton helveticus;2019;1;296789;6834425
Lissotriton helveticus;2019;1;296519;6833811
Lissotriton helveticus;2019;1;296522;6833815
Lissotriton helveticus;2019;1;296538;6833847
Lissotriton helveticus;2019;1;296550;6833889
Lissotriton helveticus;2019;1;296562;6833910
Lissotriton helveticus;2019;1;296572;6833927
Lissotriton helveticus;2019;1;296576;6833936
Lissotriton helveticus;2019;1;296583;6833952
Lissotriton helveticus;2019;1;296581;6833953
Lissotriton helveticus;2019;1;296586;6833963
Lissotriton helveticus;2019;1;296597;6833980
Lissotriton helveticus;2019;1;296597;6833980
Lissotriton helveticus;2019;1;296608;6834004
Lissotriton helveticus;2019;1;296609;6834021
Lissotriton helveticus;2019;1;296623;6834058
Lissotriton helveticus;2019;1;296631;6834075
Lissotriton helveticus;2019;1;296640;6834086
Lissotriton helveticus;2019;1;296644;6834100
Lissotriton helveticus;2019;1;296652;6834112
Lissotriton helveticus;2019;1;296663;6834142
Lissotriton helveticus;2019;1;296663;6834142
Lissotriton helveticus;2019;1;296667;6834154
Lissotriton helveticus;2019;1;296676;6834162
Lissotriton helveticus;2019;1;296678;6834174
Lissotriton helveticus;2019;1;296678;6834174
Lissotriton helveticus;2019;1;296692;6834200
Lissotriton helveticus;2019;1;296698;6834211
Lissotriton helveticus;2019;1;296702;6834221
Lissotriton helveticus;2019;1;296704;6834229
Lissotriton helveticus;2019;1;296713;6834239
Lissotriton helveticus;2019;1;296712;6834252
Lissotriton helveticus;2019;1;296712;6834252
Lissotriton helveticus;2019;1;296717;6834254
Lissotriton helveticus;2019;1;296718;6834256
Lissotriton helveticus;2019;1;296724;6834275
Lissotriton helveticus;2019;1;296730;6834290
Lissotriton helveticus;2019;1;296730;6834290
Lissotriton helveticus;2019;1;296730;6834290
Lissotriton helveticus;2019;1;296736;6834302
Lissotriton helveticus;2019;1;296740;6834307
Lissotriton helveticus;2019;1;296748;6834324
Lissotriton helveticus;2019;1;296753;6834332
Lissotriton helveticus;2019;1;296753;6834332
Lissotriton helveticus;2019;1;296757;6834354
Lissotriton helveticus;2019;1;296767;6834379
Lissotriton helveticus;2019;1;296783;6834414
Lissotriton helveticus;2019;1;296792;6834433
Lissotriton helveticus;2019;1;296799;6834440
Lissotriton helveticus;2019;1;296538;6833847
Lissotriton helveticus;2019;1;296545;6833882
Lissotriton helveticus;2019;1;296576;6833936
Lissotriton helveticus;2019;1;296576;6833944
Lissotriton helveticus;2019;1;296581;6833953
Lissotriton helveticus;2019;1;296593;6833968
Lissotriton helveticus;2019;1;296593;6833968
Lissotriton helveticus;2019;1;296600;6834000
Lissotriton helveticus;2019;1;296600;6833993
Lissotriton helveticus;2019;1;296604;6834001
Lissotriton helveticus;2019;1;296608;6834004
Lissotriton helveticus;2019;1;296608;6834004
Lissotriton helveticus;2019;1;296606;6834009
Lissotriton helveticus;2019;1;296605;6834020
Lissotriton helveticus;2019;1;296620;6834045
Lissotriton helveticus;2019;1;296620;6834045
Lissotriton helveticus;2019;1;296631;6834075
Lissotriton helveticus;2019;1;296631;6834075
Lissotriton helveticus;2019;1;296640;6834086
Lissotriton helveticus;2019;1;296644;6834100
Lissotriton helveticus;2019;1;296644;6834100
Lissotriton helveticus;2019;1;296644;6834100
Lissotriton helveticus;2019;1;296652;6834112
Lissotriton helveticus;2019;1;296652;6834112
Lissotriton helveticus;2019;1;296656;6834121
Lissotriton helveticus;2019;1;296658;6834124
Lissotriton helveticus;2019;1;296667;6834154
Lissotriton helveticus;2019;1;296667;6834154
Lissotriton helveticus;2019;1;296667;6834154
Lissotriton helveticus;2019;1;296677;6834163
Lissotriton helveticus;2019;1;296677;6834163
Lissotriton helveticus;2019;1;296676;6834162
Lissotriton helveticus;2019;1;296676;6834162
Lissotriton helveticus;2019;1;296678;6834174
Lissotriton helveticus;2019;1;296684;6834178
Lissotriton helveticus;2019;1;296684;6834178
Lissotriton helveticus;2019;1;296687;6834190
Lissotriton helveticus;2019;1;296687;6834190
Lissotriton helveticus;2019;1;296692;6834200
Lissotriton helveticus;2019;1;296692;6834200
Lissotriton helveticus;2019;1;296693;6834210
Lissotriton helveticus;2019;1;296698;6834211
Lissotriton helveticus;2019;1;296702;6834221
Lissotriton helveticus;2019;1;296702;6834221
Lissotriton helveticus;2019;1;296704;6834229
Lissotriton helveticus;2019;1;296707;6834239
Lissotriton helveticus;2019;1;296707;6834239
Lissotriton helveticus;2019;1;296713;6834239
Lissotriton helveticus;2019;1;296712;6834252
Lissotriton helveticus;2019;1;296717;6834254
Lissotriton helveticus;2019;1;296718;6834256
Lissotriton helveticus;2019;1;296718;6834256
Lissotriton helveticus;2019;1;296721;6834267
Lissotriton helveticus;2019;1;296730;6834290
Lissotriton helveticus;2019;1;296730;6834290
Lissotriton helveticus;2019;1;296730;6834290
Lissotriton helveticus;2019;1;296733;6834293
Lissotriton helveticus;2019;1;296754;6834336
Lissotriton helveticus;2019;1;296754;6834349
Lissotriton helveticus;2019;1;296757;6834354
Lissotriton helveticus;2019;1;296768;6834380
Lissotriton helveticus;2019;1;296768;6834380
Lissotriton helveticus;2019;1;296771;6834390
Lissotriton helveticus;2019;1;296771;6834390
Lissotriton helveticus;2019;1;296771;6834390
Lissotriton helveticus;2019;1;296777;6834394
Lissotriton helveticus;2019;1;296781;6834402
Lissotriton helveticus;2019;1;296789;6834425
Lissotriton helveticus;2019;1;296792;6834433
Lissotriton helveticus;2019;1;296519;6833811
Lissotriton helveticus;2019;1;296545;6833882
Lissotriton helveticus;2019;1;296550;6833888
Lissotriton helveticus;2019;1;296572;6833927
Lissotriton helveticus;2019;1;296576;6833936
Lissotriton helveticus;2019;1;296576;6833944
Lissotriton helveticus;2019;1;296583;6833952
Lissotriton helveticus;2019;1;296597;6833980
Lissotriton helveticus;2019;1;296600;6834000
Lissotriton helveticus;2019;1;296600;6833993
Lissotriton helveticus;2019;1;296604;6834001
Lissotriton helveticus;2019;1;296608;6834004
Lissotriton helveticus;2019;1;296608;6834004
Lissotriton helveticus;2019;1;296606;6834009
Lissotriton helveticus;2019;1;296631;6834075
Lissotriton helveticus;2019;1;296640;6834086
Lissotriton helveticus;2019;1;296644;6834100
Lissotriton helveticus;2019;1;296652;6834112
Lissotriton helveticus;2019;1;296656;6834121
Lissotriton helveticus;2019;1;296656;6834121
Lissotriton helveticus;2019;1;296667;6834154
Pelophylax spp.;2019;1;296792;6834433
Pelophylax spp.;2019;1;296609;6834021
Pelophylax spp.;2019;1;296754;6834336
Pelophylax spp.;2019;1;296631;6834067
Rana dalmatina;2019;1;296609;6834021
Rana dalmatina;2019;1;296612;6834040
Rana dalmatina;2019;1;296663;6834142
Rana dalmatina;2019;1;296692;6834200
Rana dalmatina;2019;1;296698;6834211
Rana dalmatina;2019;1;296728;6834286
Rana dalmatina;2019;1;296519;6833811
Rana dalmatina;2019;1;296543;6833862
Rana dalmatina;2019;1;296557;6833893
Rana dalmatina;2019;1;296562;6833910
Rana dalmatina;2019;1;296576;6833936
Rana dalmatina;2019;1;296581;6833953
Rana dalmatina;2019;1;296586;6833963
Rana dalmatina;2019;1;296597;6833980
Rana dalmatina;2019;1;296597;6833980
Rana dalmatina;2019;1;296600;6834000
Rana dalmatina;2019;1;296606;6834009
Rana dalmatina;2019;1;296605;6834020
Rana dalmatina;2019;1;296612;6834040
Rana dalmatina;2019;1;296612;6834040
Rana dalmatina;2019;1;296659;6834138
Rana dalmatina;2019;1;296667;6834154
Rana dalmatina;2019;1;296692;6834200
Rana dalmatina;2019;1;296692;6834200
Rana dalmatina;2019;1;296767;6834379
Rana dalmatina;2019;1;296768;6834380
Rana dalmatina;2019;1;296777;6834394
Rana dalmatina;2019;1;296524;6833824
Rana dalmatina;2019;1;296527;6833829
Rana dalmatina;2019;1;296527;6833829
Rana dalmatina;2019;1;296538;6833847
Rana dalmatina;2019;1;296538;6833847
Rana dalmatina;2019;1;296541;6833864
Rana dalmatina;2019;1;296550;6833889
Rana dalmatina;2019;1;296563;6833904
Rana dalmatina;2019;1;296561;6833911
Rana dalmatina;2019;1;296561;6833911
Rana dalmatina;2019;1;296570;6833921
Rana dalmatina;2019;1;296572;6833927
Rana dalmatina;2019;1;296583;6833955
Rana dalmatina;2019;1;296586;6833963
Rana dalmatina;2019;1;296586;6833963
Rana dalmatina;2019;1;296593;6833968
Rana dalmatina;2019;1;296600;6834000
Rana dalmatina;2019;1;296600;6834000
Rana dalmatina;2019;1;296600;6834000
Rana dalmatina;2019;1;296609;6834021
Rana dalmatina;2019;1;296605;6834020
Rana dalmatina;2019;1;296620;6834045
Rana dalmatina;2019;1;296620;6834045
Rana dalmatina;2019;1;296644;6834100
Rana dalmatina;2019;1;296652;6834112
Rana dalmatina;2019;1;296656;6834121
Rana dalmatina;2019;1;296658;6834124
Rana dalmatina;2019;1;296661;6834132
Rana dalmatina;2019;1;296659;6834138
Rana dalmatina;2019;1;296667;6834154
Rana dalmatina;2019;1;296678;6834174
Rana dalmatina;2019;1;296702;6834221
Rana dalmatina;2019;1;296742;6834318
Rana dalmatina;2019;1;296754;6834336
Rana dalmatina;2019;1;296799;6834440
Rana dalmatina;2019;1;296799;6834440
Rana dalmatina;2019;1;296545;6833882
Rana dalmatina;2019;1;296563;6833904
Rana dalmatina;2019;1;296561;6833911
Rana dalmatina;2019;1;296576;6833944
Rana dalmatina;2019;1;296581;6833953
Rana dalmatina;2019;1;296583;6833955
Rana dalmatina;2019;1;296600;6834000
Rana dalmatina;2019;1;296600;6834000
Rana dalmatina;2019;1;296600;6833993
Rana dalmatina;2019;1;296620;6834045
Rana dalmatina;2019;1;296644;6834100
Rana dalmatina;2019;1;296652;6834112
Rana dalmatina;2019;1;296656;6834121
Salamandra salamandra;2019;1;296783;6834414
Salamandra salamandra;2019;1;296562;6833910
Salamandra salamandra;2019;1;296576;6833944
Salamandra salamandra;2019;1;296754;6834349
Salamandra salamandra;2019;1;296562;6833910
Triturus marmoratus;2019;1;296527;6833829
Triturus marmoratus;2019;1;296543;6833862
Triturus marmoratus;2019;1;296593;6833968
Triturus marmoratus;2019;1;296597;6833980
Triturus marmoratus;2019;1;296606;6834009
Triturus marmoratus;2019;1;296609;6834021
Triturus marmoratus;2019;1;296623;6834058
Triturus marmoratus;2019;1;296626;6834057
Triturus marmoratus;2019;1;296631;6834067
Triturus marmoratus;2019;1;296640;6834086
Triturus marmoratus;2019;1;296644;6834100
Triturus marmoratus;2019;1;296652;6834112
Triturus marmoratus;2019;1;296656;6834121
Triturus marmoratus;2019;1;296658;6834124
Triturus marmoratus;2019;1;296677;6834163
Triturus marmoratus;2019;1;296684;6834178
Triturus marmoratus;2019;1;296707;6834239
Triturus marmoratus;2019;1;296757;6834354
Triturus marmoratus;2019;1;296597;6833980
Triturus marmoratus;2019;1;296606;6834009
Triturus marmoratus;2019;1;296609;6834021
Triturus marmoratus;2019;1;296612;6834040
Triturus marmoratus;2019;1;296619;6834042
Triturus marmoratus;2019;1;296623;6834058
Triturus marmoratus;2019;1;296656;6834121
Triturus marmoratus;2019;1;296658;6834124
Triturus marmoratus;2019;1;296659;6834138
Triturus marmoratus;2019;1;296684;6834178
Triturus marmoratus;2019;1;296692;6834200
Triturus marmoratus;2019;1;296707;6834239
Triturus marmoratus;2019;1;296757;6834354
Triturus marmoratus;2019;1;296765;6834368
Triturus marmoratus;2019;1;296792;6834433
Triturus marmoratus;2019;1;296545;6833882
Triturus marmoratus;2019;1;296557;6833893
Triturus marmoratus;2019;1;296563;6833904
Triturus marmoratus;2019;1;296586;6833963
Triturus marmoratus;2019;1;296600;6834000
Triturus marmoratus;2019;1;296608;6834004
Triturus marmoratus;2019;1;296608;6834004
Triturus marmoratus;2019;1;296606;6834009
Triturus marmoratus;2019;1;296609;6834021
Triturus marmoratus;2019;1;296605;6834020
Triturus marmoratus;2019;1;296605;6834020
Triturus marmoratus;2019;1;296612;6834040
Triturus marmoratus;2019;1;296619;6834042
Triturus marmoratus;2019;1;296623;6834058
Triturus marmoratus;2019;1;296631;6834075
Triturus marmoratus;2019;1;296640;6834086
Triturus marmoratus;2019;1;296644;6834100
Triturus marmoratus;2019;1;296644;6834100
Triturus marmoratus;2019;1;296656;6834121
Triturus marmoratus;2019;1;296656;6834121
Triturus marmoratus;2019;1;296658;6834124
Triturus marmoratus;2019;1;296658;6834124
Triturus marmoratus;2019;1;296661;6834132
Triturus marmoratus;2019;1;296661;6834132
Triturus marmoratus;2019;1;296659;6834138
Triturus marmoratus;2019;1;296667;6834154
Triturus marmoratus;2019;1;296677;6834163
Triturus marmoratus;2019;1;296676;6834162
Triturus marmoratus;2019;1;296684;6834178
Triturus marmoratus;2019;1;296692;6834200
Triturus marmoratus;2019;1;296692;6834200
Triturus marmoratus;2019;1;296707;6834239
Triturus marmoratus;2019;1;296707;6834239
Triturus marmoratus;2019;1;296724;6834275
Triturus marmoratus;2019;1;296754;6834336
Triturus marmoratus;2019;1;296757;6834354
Triturus marmoratus;2019;1;296762;6834365
Triturus marmoratus;2019;1;296765;6834368
Triturus marmoratus;2019;1;296792;6834433
Triturus marmoratus;2019;1;296586;6833963
Triturus marmoratus;2019;1;296586;6833963
Triturus marmoratus;2019;1;296600;6834000
Triturus marmoratus;2019;1;296600;6833993
Triturus marmoratus;2019;1;296608;6834004
Triturus marmoratus;2019;1;296609;6834021
Triturus marmoratus;2019;1;296619;6834042
Triturus marmoratus;2019;1;296631;6834067
Triturus marmoratus;2019;1;296640;6834086
Triturus marmoratus;2019;1;296644;6834100
Triturus marmoratus;2019;1;296656;6834121
Triturus marmoratus;2019;1;296661;6834132
Triturus marmoratus;2019;1;296659;6834138
Triturus marmoratus;2019;1;296659;6834138
Triturus marmoratus;2019;1;296677;6834163
Salamandra salamandra;2014;1;248703;6866079
Rana temporaria;2010;1;232867;6853207
Rana temporaria;2010;1;240946;6853218
Rana temporaria;2010;1;240131;6853160
Rana temporaria;2010;1;240085;6852993
Rana temporaria;2010;1;240055;6853563
Rana temporaria;2010;1;240139;6853378
Rana temporaria;2010;1;237529;6859745
Rana temporaria;2010;1;237116;6859573
Bufo spinosus;2018;1;296743;6834303
Lissotriton helveticus;2018;1;296578;6833943
Lissotriton helveticus;2018;1;296593;6833973
Lissotriton helveticus;2018;1;296707;6834225
Lissotriton helveticus;2018;1;296750;6834324
Rana temporaria;2018;1;287063;6814801
Triturus marmoratus;2018;1;296707;6834225
Triturus marmoratus;2018;1;296712;6834243
Lissotriton helveticus;2017;1;296542;6833863
Lissotriton helveticus;2017;1;296636;6834077
Rana temporaria;2012;1;260462;6825462
Salamandra salamandra;2011;1;225368;6862414
Salamandra salamandra;2011;1;225387;6862269
Bufo spinosus;2013;1;263293;6853568
Salamandra salamandra;2010;1;222537;6840119
Salamandra salamandra;2010;1;222611;6840205
Pelophylax spp.;2010;1;257655;6811341
Bufo spinosus;2014;1;258808;6867496
Bufo spinosus;2014;1;254630;6867735
Hyla arborea;2017;1;217550;6850875
Ichthyosaura alpestris;2017;1;216637;6850580
Ichthyosaura alpestris;2016;1;216637;6850580
Pelophylax kl. esculentus;2016;1;216507;6849393
Pelophylax kl. esculentus;2016;1;216651;6849451
Pelophylax kl. esculentus;2016;1;216727;6849727
Pelophylax kl. esculentus;2016;1;216041;6849384
Pelophylax spp.;2015;1;259519;6807029
Rana temporaria;2011;1;237920;6836071
Rana temporaria;2018;1;217138;6849234
Bufo spinosus;2014;1;272784;6840900
Pelophylax spp.;2014;1;276655;6837670
Bufo spinosus;2012;1;243722;6855725
Alytes obstetricans;2010;1;256195;6840934
Bufo spinosus;2010;1;259761;6843396
Bufo spinosus;2010;1;221766;6871792
Pelophylax spp.;2010;1;256346;6810153
Pelophylax spp.;2010;1;266221;6807874
Rana temporaria;2010;1;221766;6871792
Hyla arborea;2017;1;217934;6850834
Lissotriton helveticus;2016;1;279231;6838456
Rana temporaria;2015;1;330596;6822342
Rana temporaria;2015;1;330596;6822342
Bufo spinosus;2019;1;296545;6833882
Bufo spinosus;2019;1;296631;6834067
Bufo spinosus;2019;1;296656;6834121
Bufo spinosus;2019;1;296712;6834252
Bufo spinosus;2019;1;296570;6833950
Rana dalmatina;2019;1;296557;6833893
Rana dalmatina;2019;1;296572;6833927
Rana dalmatina;2019;1;296576;6833936
Rana dalmatina;2019;1;296631;6834067
Rana dalmatina;2019;1;296658;6834124
Rana dalmatina;2019;1;296687;6834190
Rana dalmatina;2019;1;296713;6834239
Rana dalmatina;2019;1;296724;6834275
Rana dalmatina;2019;1;296742;6834318
Rana dalmatina;2019;1;296753;6834332
Rana dalmatina;2019;1;296765;6834368
Triturus marmoratus;2019;1;296545;6833882
Triturus marmoratus;2019;1;296600;6833993
Triturus marmoratus;2019;1;296631;6834067
Triturus marmoratus;2019;1;296631;6834075
Triturus marmoratus;2019;1;296652;6834112
Triturus marmoratus;2019;1;296661;6834132
Triturus marmoratus;2019;1;296724;6834275
Triturus marmoratus;2019;1;296754;6834349
Triturus marmoratus;2019;1;296771;6834390
Bufo spinosus;2018;1;296545;6833868
Ichthyosaura alpestris;2018;1;296663;6834134
Lissotriton helveticus;2016;1;228074;6848372
Lissotriton helveticus;2016;1;228672;6848251
Alytes obstetricans;2011;1;227590;6824600
Lissotriton helveticus;2011;1;227590;6824600
Lissotriton helveticus;2011;1;228628;6823221
Lissotriton helveticus;2011;1;228124;6822816
Pelophylax spp.;2011;1;228628;6823221
Rana dalmatina;2011;1;282966;6839418
Rana dalmatina;2011;1;282966;6839418
Rana dalmatina;2011;1;228124;6822816
Salamandra salamandra;2011;1;228628;6823221
Triturus marmoratus;2011;1;228124;6822816
Lissotriton helveticus;2010;1;257937;6833924
Ichthyosaura alpestris;2019;1;296754;6834349
Lissotriton helveticus;2019;1;296623;6834058
Lissotriton helveticus;2019;1;296692;6834200
Lissotriton helveticus;2019;1;296698;6834211
Lissotriton helveticus;2019;1;296704;6834229
Lissotriton helveticus;2019;1;296707;6834239
Lissotriton helveticus;2019;1;296717;6834254
Rana dalmatina;2019;1;296524;6833824
Rana dalmatina;2019;1;296597;6833980
Triturus marmoratus;2019;1;296661;6834132
Triturus marmoratus;2019;1;296663;6834142
Triturus marmoratus;2019;1;296754;6834336
Bufo spinosus;2018;1;296545;6833868
Rana dalmatina;2018;1;296611;6834018
Ichthyosaura alpestris;2017;1;296628;6834062
Lissotriton helveticus;2017;1;296570;6833931
Lissotriton helveticus;2017;1;296626;6834055
Lissotriton helveticus;2017;1;296773;6834387
Rana dalmatina;2017;1;296602;6834000
Triturus marmoratus;2017;1;296593;6833980
Triturus marmoratus;2017;1;296753;6834342
Bufo spinosus;2014;1;277190;6838661
Bufo spinosus;2014;1;259519;6807029
Bufo spinosus;2014;1;277190;6838661
Lissotriton helveticus;2014;1;277190;6838661
Lissotriton helveticus;2014;1;277190;6838661
Bufo spinosus;2011;1;213048;6863061
Salamandra salamandra;2011;1;213652;6861524
Salamandra salamandra;2011;1;213048;6863061
Bufo spinosus;2010;1;251712;6837219
Lissotriton helveticus;2010;1;251712;6837219
Lissotriton helveticus;2019;1;296538;6833847
Lissotriton helveticus;2019;1;296656;6834121
Lissotriton helveticus;2019;1;296667;6834154
Lissotriton helveticus;2019;1;296678;6834174
Lissotriton helveticus;2019;1;296684;6834178
Lissotriton helveticus;2019;1;296692;6834200
Lissotriton helveticus;2019;1;296698;6834211
Lissotriton helveticus;2019;1;296704;6834229
Lissotriton helveticus;2019;1;296717;6834254
Rana dalmatina;2019;1;296532;6833842
Rana dalmatina;2019;1;296583;6833955
Rana dalmatina;2019;1;296606;6834009
Salamandra salamandra;2019;1;296557;6833893
Triturus marmoratus;2019;1;296561;6833911
Triturus marmoratus;2019;1;296606;6834009
Triturus marmoratus;2019;1;296605;6834020
Triturus marmoratus;2019;1;296619;6834042
Triturus marmoratus;2019;1;296659;6834138
Rana dalmatina;2018;1;296597;6833980
Rana dalmatina;2018;1;296683;6834174
Bufo spinosus;2017;1;296538;6833855
Bufo spinosus;2017;1;296769;6834380
Ichthyosaura alpestris;2017;1;296603;6834006
Ichthyosaura alpestris;2017;1;296628;6834062
Lissotriton helveticus;2017;1;296606;6834012
Lissotriton helveticus;2017;1;296612;6834024
Lissotriton helveticus;2017;1;296649;6834109
Lissotriton helveticus;2017;1;296766;6834374
Lissotriton helveticus;2017;1;296778;6834402
Rana dalmatina;2017;1;296526;6833829
Rana dalmatina;2017;1;296566;6833923
Rana dalmatina;2017;1;296586;6833963
Rana dalmatina;2017;1;296593;6833980
Rana dalmatina;2017;1;296600;6833997
Rana dalmatina;2017;1;296620;6834040
Triturus marmoratus;2017;1;296596;6833985
Triturus marmoratus;2017;1;296620;6834043
Triturus marmoratus;2017;1;296788;6834425
Rana temporaria;2016;1;250506;6866564
Bufo spinosus;2012;1;256881;6839229
Rana temporaria;2012;1;256578;6838932
Rana temporaria;2012;1;256881;6839229
Bufo spinosus;2010;1;272971;6827007
Rana temporaria;2010;1;237746;6858172
Salamandra salamandra;2010;1;265064;6823162
Salamandra salamandra;2010;1;272971;6827007
Lissotriton helveticus;2019;1;296656;6834121
Lissotriton helveticus;2019;1;296684;6834178
Lissotriton helveticus;2019;1;296687;6834190
Bufo spinosus;2018;1;296638;6834076
Bufo spinosus;2018;1;296643;6834083
Ichthyosaura alpestris;2018;1;296669;6834143
Lissotriton helveticus;2018;1;296649;6834101
Lissotriton helveticus;2018;1;296659;6834125
Lissotriton helveticus;2018;1;296669;6834143
Lissotriton helveticus;2018;1;296673;6834149
Lissotriton helveticus;2018;1;296673;6834149
Lissotriton helveticus;2018;1;296679;6834166
Lissotriton helveticus;2018;1;296687;6834183
Lissotriton helveticus;2018;1;296687;6834187
Lissotriton helveticus;2018;1;296692;6834198
Lissotriton helveticus;2018;1;296696;6834204
Lissotriton helveticus;2018;1;296699;6834209
Lissotriton helveticus;2018;1;296705;6834219
Lissotriton helveticus;2018;1;296709;6834231
Lissotriton helveticus;2018;1;296723;6834258
Lissotriton helveticus;2018;1;296737;6834295
Lissotriton helveticus;2018;1;296759;6834351
Lissotriton helveticus;2018;1;296780;6834390
Lissotriton helveticus;2018;1;296784;6834395
Lissotriton helveticus;2018;1;296790;6834418
Triturus marmoratus;2018;1;296597;6833980
Triturus marmoratus;2018;1;296597;6833980
Triturus marmoratus;2018;1;296745;6834312
Triturus marmoratus;2018;1;296797;6834432
Lissotriton helveticus;2017;1;296526;6833829
Lissotriton helveticus;2017;1;296542;6833863
Lissotriton helveticus;2017;1;296581;6833953
Lissotriton helveticus;2017;1;296583;6833958
Lissotriton helveticus;2017;1;296593;6833980
Lissotriton helveticus;2017;1;296602;6834000
Lissotriton helveticus;2017;1;296644;6834096
Lissotriton helveticus;2017;1;296649;6834109
Ichthyosaura alpestris;2011;1;350527;6789970
Salamandra salamandra;2010;1;224916;6853221
Salamandra salamandra;2010;1;275983;6842953
Bufo spinosus;2017;1;225236;6838633
Pelophylax kl. esculentus;2017;1;225170;6838667
Salamandra salamandra;2017;1;225332;6838773
Salamandra salamandra;2017;1;225188;6838671
Bufo spinosus;2015;1;259519;6807029
Bufo spinosus;2018;1;288599;6827176
Rana dalmatina;2018;1;290226;6825645
Pelophylax kl. esculentus;2013;1;218341;6850865
Pelophylax kl. esculentus;2013;1;217793;6850038
Bufo spinosus;2010;1;257765;6825032
Pelophylax spp.;2010;1;257870;6825630
Bufo spinosus;2013;1;246869;6861796
Bufo spinosus;2013;1;246869;6861796
Bufo spinosus;2010;1;271288;6849868
Pelophylax kl. esculentus;2018;1;219681;6840836
Salamandra salamandra;2018;1;219701;6840911
Ichthyosaura alpestris;2017;1;216637;6850580
Alytes obstetricans;2016;1;216424;6851166
Alytes obstetricans;2016;1;216356;6851000
Hyla arborea;2016;1;216356;6851000
Pelophylax kl. esculentus;2016;1;216356;6851000
Salamandra salamandra;2016;1;216502;6850802
Salamandra salamandra;2016;1;216435;6851085
Salamandra salamandra;2016;1;216264;6849985
Pelophylax spp.;2011;1;256879;6824965
Pelophylax spp.;2014;1;273066;6838699
Pelophylax spp.;2011;1;326228;6838168
Pelophylax spp.;2011;1;335775;6832394
Bufo spinosus;2010;1;273920;6820704
Pelophylax kl. esculentus;2010;1;229532;6844795
Pelophylax kl. esculentus;2010;1;228572;6846012
Pelophylax spp.;2010;1;260247;6835305
Hyla arborea;2018;1;217562;6850103
Ichthyosaura alpestris;2018;1;219034;6850622
Lissotriton helveticus;2018;1;219034;6850622
Pelophylax kl. esculentus;2018;1;216687;6849377
Lissotriton helveticus;2017;1;242562;6853301
Pelophylax kl. esculentus;2016;1;216491;6849649
Pelophylax spp.;2016;1;216491;6849649
Salamandra salamandra;2015;1;260400;6866584
Bufo spinosus;2011;1;315398;6839566
Bufo spinosus;2011;1;313735;6836478
Bufo spinosus;2011;1;310504;6832610
Bufo spinosus;2011;1;265235;6835267
Lissotriton helveticus;2011;1;313735;6836478
Pelophylax spp.;2011;1;313735;6836478
Pelophylax spp.;2011;1;310504;6832610
Lissotriton helveticus;2019;1;296692;6834200
Lissotriton helveticus;2019;1;296693;6834210
Bufo spinosus;2018;1;226212;6870020
Bufo spinosus;2018;1;296755;6834335
Hyla arborea;2018;1;221140;6871509
Ichthyosaura alpestris;2018;1;296611;6834018
Ichthyosaura alpestris;2018;1;296636;6834070
Lissotriton helveticus;2018;1;220948;6871380
Pelophylax spp.;2018;1;296582;6833949
Salamandra salamandra;2018;1;221141;6871539
Triturus marmoratus;2018;1;296630;6834058
Lissotriton helveticus;2017;1;296583;6833958
Salamandra salamandra;2017;1;227308;6859393
Bufo spinosus;2014;1;221010;6844765
Bufo spinosus;2014;1;220851;6845017
Lissotriton helveticus;2014;1;272080;6840406
Lissotriton helveticus;2014;1;272784;6840900
Lissotriton helveticus;2014;1;272784;6840900
Bufo spinosus;2010;1;215708;6858179
Lissotriton helveticus;2010;1;236939;6855815
Lissotriton helveticus;2010;1;235540;6856048
Salamandra salamandra;2010;1;215708;6858179
Salamandra salamandra;2010;1;236939;6855815
Salamandra salamandra;2010;1;235540;6856048
Bufo spinosus;2019;1;296542;6833857
Bufo spinosus;2019;1;296678;6834174
Bufo spinosus;2019;1;296712;6834252
Bufo spinosus;2019;1;296609;6834041
Bufo spinosus;2019;1;296608;6834017
Bufo spinosus;2019;1;296570;6833950
Ichthyosaura alpestris;2019;1;296612;6834040
Ichthyosaura alpestris;2019;1;296736;6834302
Lissotriton helveticus;2019;1;296652;6834112
Lissotriton helveticus;2019;1;296656;6834121
Lissotriton helveticus;2019;1;296663;6834142
Lissotriton helveticus;2019;1;296693;6834210
Lissotriton helveticus;2019;1;296698;6834211
Lissotriton helveticus;2019;1;296704;6834229
