Species;Year;Abundance;X;Y
Bufo spinosus;2013;1;220408;6877000
Bufo spinosus;2013;1;274677;6840185
Bufo spinosus;2013;1;266956;6836949
Bufo spinosus;2013;1;222776;6877348
Bufo spinosus;2013;1;330049;6816550
Pelophylax spp.;2013;1;299112;6834091
Pelophylax spp.;2013;1;239877;6824316
Pelophylax spp.;2013;1;266956;6836949
Salamandra salamandra;2013;1;279679;6825327
Salamandra salamandra;2013;1;270237;6834924
Salamandra salamandra;2013;1;266956;6836949
Salamandra salamandra;2013;1;288135;6808032
Salamandra salamandra;2013;1;222776;6877348
Salamandra salamandra;2012;1;251724;6868952
Bufo spinosus;2012;1;277783;6841159
Hyla arborea;2012;1;150688;6859474
Hyla arborea;2012;1;149575;6859678
Bufo spinosus;2012;1;250700;6828786
Bufo spinosus;2012;1;242615;6872582
Bufo spinosus;2012;1;234793;6876185
Bufo spinosus;2012;1;233996;6876491
Salamandra salamandra;2012;1;298383;6818207
Salamandra salamandra;2012;1;298537;6812462
Pelophylax spp.;2012;1;287359;6814299
Bufo spinosus;2012;1;224525;6866973
Bufo spinosus;2012;1;224450;6866938
Bufo spinosus;2012;1;277783;6841159
Bufo spinosus;2012;1;270400;6849620
Salamandra salamandra;2012;1;287359;6814299
Bufo spinosus;2012;1;213289;6861667
Salamandra salamandra;2012;1;277783;6841159
Bufo spinosus;2012;1;266330;6833657
Bufo spinosus;2012;1;266531;6833855
Bufo spinosus;2012;1;251724;6868952
Bufo spinosus;2012;1;237153;6858976
Salamandra salamandra;2012;1;237153;6858976
Bufo spinosus;2012;1;299112;6834091
Bufo spinosus;2012;1;300052;6851372
Bufo spinosus;2012;1;263544;6822886
Bufo spinosus;2012;1;322928;6813311
Bufo spinosus;2012;1;261503;6854682
Bufo spinosus;2012;1;285772;6840495
Bufo spinosus;2012;1;259010;6867794
Bufo spinosus;2012;1;297686;6818512
Bufo spinosus;2012;1;258348;6860004
Hyla arborea;2012;1;220408;6877000
Pelophylax spp.;2012;1;299112;6834091
Pelophylax spp.;2012;1;298897;6832194
Pelophylax spp.;2012;1;266330;6833657
Salamandra salamandra;2012;1;263544;6822886
Salamandra salamandra;2012;1;276186;6826048
Salamandra salamandra;2012;1;277298;6842962
Pelophylax spp.;2011;1;165470;6778628
Bufo spinosus;2011;1;257288;6864910
Bufo spinosus;2011;1;326875;6831766
Bufo spinosus;2011;1;271338;6845498
Pelophylax spp.;2011;1;265393;6857875
Salamandra salamandra;2011;1;220365;6871604
Salamandra salamandra;2011;1;257288;6864910
Salamandra salamandra;2011;1;245557;6810640
Salamandra salamandra;2011;1;265626;6857847
Salamandra salamandra;2011;1;251020;6868358
Bufo spinosus;2011;1;229366;6860038
Salamandra salamandra;2011;1;229366;6860038
Bufo spinosus;2011;1;227041;6831875
Salamandra salamandra;2011;1;227041;6831875
Bufo spinosus;2011;1;224036;6831000
Salamandra salamandra;2011;1;227614;6828573
Bufo spinosus;2011;1;258798;6866297
Bufo spinosus;2011;1;265626;6857847
Bufo spinosus;2011;1;259013;6868094
Bufo spinosus;2011;1;243620;6818250
Salamandra salamandra;2011;1;244688;6876305
Salamandra salamandra;2011;1;222721;6855230
Hyla arborea;2011;1;332769;6831419
Bufo spinosus;2011;1;257783;6852014
Bufo spinosus;2011;1;258654;6873194
Salamandra salamandra;2011;1;269767;6838526
Salamandra salamandra;2011;1;227773;6873143
Salamandra salamandra;2011;1;258654;6873194
Bufo spinosus;2011;1;256930;6870110
Bufo spinosus;2011;1;298383;6818207
Bufo spinosus;2011;1;227773;6873143
Bufo spinosus;2011;1;217971;6872223
Bufo spinosus;2011;1;323088;6820704
Bufo spinosus;2011;1;224525;6866973
Bufo spinosus;2011;1;224525;6866973
Bufo spinosus;2011;1;224941;6831792
Bufo spinosus;2011;1;227614;6828573
Pelophylax spp.;2011;1;326875;6831766
Pelophylax spp.;2011;1;323088;6820704
Pelophylax spp.;2011;1;220877;6814633
Salamandra salamandra;2011;1;226138;6868759
Salamandra salamandra;2011;1;219314;6852824
Salamandra salamandra;2011;1;268881;6806566
Salamandra salamandra;2011;1;259013;6868094
Salamandra salamandra;2011;1;264377;6802293
Bufo spinosus;2011;1;273151;6836899
Hyla arborea;2011;1;332769;6831419
Pelophylax spp.;2011;1;300058;6852171
Bufo spinosus;2011;1;256043;6871615
Pelophylax spp.;2011;1;271338;6845498
Alytes obstetricans;2011;1;242773;6855228
Salamandra salamandra;2011;1;242773;6855228
Alytes obstetricans;2011;1;287653;6830877
Bufo spinosus;2011;1;237127;6855778
Bufo spinosus;2011;1;277448;6843956
Bufo spinosus;2011;1;310001;6845895
Bufo spinosus;2011;1;270936;6847211
Bufo spinosus;2011;1;261522;6832296
Bufo spinosus;2011;1;302598;6795688
Bufo spinosus;2011;1;232345;6870008
Bufo spinosus;2011;1;311035;6837891
Bufo spinosus;2011;1;244688;6876305
Bufo spinosus;2011;1;254560;6861234
Bufo spinosus;2011;1;253897;6878129
Bufo spinosus;2011;1;261529;6845588
Bufo spinosus;2011;1;220877;6814633
Hyla arborea;2011;1;220408;6877000
Lissotriton helveticus;2011;1;277448;6843956
Pelophylax spp.;2011;1;243187;6838940
Pelophylax spp.;2011;1;227041;6831875
Pelophylax spp.;2011;1;254560;6861234
Pelophylax spp.;2011;1;299632;6848877
Pelophylax spp.;2011;1;257288;6864910
Salamandra salamandra;2011;1;276284;6835729
Salamandra salamandra;2011;1;237127;6855778
Salamandra salamandra;2011;1;258798;6866297
Salamandra salamandra;2011;1;220243;6856414
Salamandra salamandra;2011;1;253342;6834161
Salamandra salamandra;2011;1;262341;6847080
Salamandra salamandra;2011;1;224036;6831000
Salamandra salamandra;2011;1;220877;6814633
Salamandra salamandra;2011;1;266531;6833855
Salamandra salamandra;2011;1;274677;6840185
Salamandra salamandra;2011;1;234996;6876583
Salamandra salamandra;2011;1;272096;6842304
Salamandra salamandra;2010;1;234748;6876538
Salamandra salamandra;2010;1;261598;6841790
Bufo spinosus;2010;1;279502;6831252
Salamandra salamandra;2010;1;206852;6795349
Pelophylax spp.;2010;1;251632;6807992
Bufo spinosus;2010;1;102398;6848089
